date,close,volume,open,high,low
31/10/2018,61.195,21779,60.88,61.51,60.88
30/10/2018,61.265,35876,60.536,61.36,60.4
29/10/2018,57.375,69640,56.4,58.7,56.4
26/10/2018,59.035,47493,58.45,59.13,57.4
25/10/2018,58.285,66604,57.19,58.6,57.18
24/10/2018,56.93,32896,58.4,58.65,56.93
23/10/2018,59.165,64660,58.56,59.8251,58.22
22/10/2018,60.155,38870,58.66,60.67,58.66
19/10/2018,60.895,25684,61.46,61.46,60.7
18/10/2018,61.425,88535,62.64,62.64,61.05
17/10/2018,62.575,36034,62.365,62.7,62.19
16/10/2018,62.96,35938,62.2,63.18,62.2
15/10/2018,61.61,22515,61.36,62.03,61.36
12/10/2018,62.19,66714,61.74,62.38,61.05
11/10/2018,62.36,19812,62.69,63.03,61.38
10/10/2018,63.14,32405,64.64,64.64,63.01
09/10/2018,64.76,30830,65,65.83,64
08/10/2018,66.36,35760,65.59,66.57,65.59
05/10/2018,65.88,34218,66.51,66.78,65.75
04/10/2018,66.035,10424,66.75,66.75,65.7
03/10/2018,66.71,14103,67.02,67.2,66.65
02/10/2018,67.59,410702,67.24,67.73,67.24
01/10/2018,67.54,224397,67,68.87,65.99
28/09/2018,67.79,10705,68,68.07,67.57
27/09/2018,68.9,22436,67.68,69.13,67.68
26/09/2018,69.07,12275,67.57,69.75,67.57
25/09/2018,69.005,16335,68.59,69.67,68.59
24/09/2018,68.22,20304,68.55,68.55,68.12
21/09/2018,68.33,8087,68.18,68.62,68.16
20/09/2018,67.74,33469,68,68,67.54
19/09/2018,66.605,268625,65.73,66.85,65.73
18/09/2018,66.435,28631,66.28,66.69,66.04
17/09/2018,66.005,25639,65.98,66.41,65.98
14/09/2018,65.83,22047,65.8,66.12,65.62
13/09/2018,64.665,18235,65.4,65.4,64.63
12/09/2018,64.255,35787,64.22,64.4,63.87
11/09/2018,64.57,25063,64.375,64.73,64.22
10/09/2018,63.71,39332,63.72,64.16,63.51
07/09/2018,62.935,25834,63.34,63.4,62.91
06/09/2018,63.47,17166,63.31,63.72,63.18
05/09/2018,63.505,30411,63.81,63.81,63.29
04/09/2018,63.74,20328,63.91,63.92,63.45
31/08/2018,65.2,20999,65.01,65.4,65.01
30/08/2018,65.14,19657,65.6,65.6,65
29/08/2018,66.2,51131,65.94,66.2,65.93
28/08/2018,65.66,25374,66.14,66.2,65.59
27/08/2018,66.21,24197,65.92,66.21,65.48
24/08/2018,64.775,42351,64.985,65.08,64.4136
23/08/2018,64.86,17195,65.38,65.38,64.12
22/08/2018,66.04,12264,66.246,66.27,65.93
21/08/2018,65.3,42223,65.57,65.66,65.16
20/08/2018,66.294,22450,65.85,66.294,65.85
17/08/2018,65.85,20430,65.4,65.87,65.15
16/08/2018,66.4,21885,65.04,66.68,65.04
15/08/2018,66.125,23401,66.5,66.5,65.58
14/08/2018,66.83,33847,66.915,67.31,66.55
13/08/2018,66.72,21158,66.53,66.9,66.48
10/08/2018,67.62,16357,67.84,67.84,67.23
09/08/2018,69.1,16200,69.328,69.34,68.93
08/08/2018,70.05,16997,69.88,70.05,69.71
07/08/2018,69.035,21294,68.9,69.11,68.9
06/08/2018,67.99,15638,67.885,68.15,67.885
03/08/2018,68.45,13639,67.78,68.45,67.78
02/08/2018,68.5375,18758,68.5,68.72,68.14
01/08/2018,69.66,15892,69.36,69.81,69.35
31/07/2018,70.045,13159,70.15,70.27,69.91
30/07/2018,72.25,17554,72.695,72.78,72.25
27/07/2018,75.89,19762,75.3,75.97,74.25
26/07/2018,73.17,10921,72.964,73.21,72.964
25/07/2018,72.208,24617,71.59,72.208,71.58
24/07/2018,71.785,12764,71.9,72.04,71.59
23/07/2018,71.54,13169,70.34,71.55,70.34
20/07/2018,71.04,15817,71.11,71.11,70.75
19/07/2018,71.035,89004,70.69,71.08,70.61
18/07/2018,70.78,65340,70.43,70.83,70.34
17/07/2018,70.94,19261,70.42,70.95,70.28
16/07/2018,70.195,18890,70.46,70.46,70.15
13/07/2018,70.13,10487,69.09,70.27,69.09
12/07/2018,70.1,19376,70.61,70.61,69.68
11/07/2018,70.33,12988,70.417,70.66,69.96
10/07/2018,71.17,20650,70.91,71.27,70.91
09/07/2018,70.19,19458,69.5,70.29,69.5
06/07/2018,68.8,16449,67.62,69.036,67.62
05/07/2018,68.542,9634,68.625,68.625,68.5
03/07/2018,69.465,7860,69.75,69.75,69.465
02/07/2018,69.59,20256,69.555,70.21,69.02
29/06/2018,70.51,16013,70.585,70.75,70.448
28/06/2018,69.91,16584,69.67,70.09,69.33
27/06/2018,69.45,14002,69.31,70.41,68.98
26/06/2018,70.86,16716,70.48,71.05,70.37
25/06/2018,70.96,14229,71.276,71.276,70.428
22/06/2018,71.275,12989,71.69,71.69,71.17
21/06/2018,70.85,14304,71.45,71.45,70.652
20/06/2018,71.135,83654,72.072,72.072,70.82
19/06/2018,71.565,22264,72.06,72.26,71.25
18/06/2018,71.855,10633,71.38,71.97,71.38
15/06/2018,73.57,10285,73.44,73.8,73.35
14/06/2018,74.43,7200,75,75,74.43
13/06/2018,75.2775,14399,75.234,75.69,75.145
12/06/2018,75.03,21934,76.22,76.22,74.86
11/06/2018,75.7,51341,75.14,75.77,75.14
08/06/2018,75.52,8594,75.9,75.9,74.89
07/06/2018,75.98,9782,76.282,76.282,75.69
06/06/2018,75.175,11720,75,75.25,74.885
05/06/2018,72.7,15989,73.11,73.11,72.65
04/06/2018,74.65,17860,72.22,75.02,72.22
01/06/2018,73.005,12476,73.005,73.08,72.91
31/05/2018,73.02,10409,73.155,73.27,72.75
30/05/2018,73.84,18847,74.15,74.15,73.3
29/05/2018,73.75,19921,74.7,74.7,73.7
25/05/2018,74.71,6060,74.72,74.79,74.45
24/05/2018,73.99,14801,73.97,73.99,73.343
23/05/2018,74.45,8690,72.94,74.45,72.94
22/05/2018,74.73,12638,76.27,76.27,74.73
21/05/2018,76.1,13552,76.75,76.75,76
18/05/2018,76.185,9273,76.288,76.5,76.185
17/05/2018,76.995,7842,78.08,78.08,76.78
16/05/2018,77.67,10774,77.84,77.84,77.2
15/05/2018,78.26,5531,78.55,78.55,78.02
14/05/2018,79.55,13060,80.64,80.64,79.44
11/05/2018,79.82,5535,79.45,79.88,79.45
10/05/2018,79.24,8004,79,79.27,79
09/05/2018,79,5525,78.67,79.17,78.67
08/05/2018,78.73,13046,78.52,78.73,78.5
07/05/2018,79.07,13276,78.815,79.09,78.61
04/05/2018,79.4,8957,78.55,79.52,78.39
03/05/2018,78.675,7224,78.16,78.83,77.945
02/05/2018,78.83,38698,78.906,79.12,78.52
01/05/2018,77.74,11499,77.425,77.8,77.28
30/04/2018,76.35,10908,75.46,76.35,75.055
27/04/2018,75.5,10025,74.46,75.5,74.27
26/04/2018,74.57,11441,73.995,74.63,73.995
25/04/2018,74.25,10108,74.25,74.34,73.89
24/04/2018,75.435,16405,75.2,76.11,75.03
23/04/2018,74.245,14728,74.37,74.45,73.92
20/04/2018,73.22,24668,73.07,73.4,73.02
19/04/2018,73.385,8780,73.06,73.45,73.06
18/04/2018,73.055,10916,73.87,73.87,72.9
17/04/2018,72.64,133423,72.815,72.815,72.23
16/04/2018,73.04,16172,72.7,73.06,72.64
13/04/2018,73.215,8893,73.4,73.4,72.86
12/04/2018,72.95,12733,73.31,73.31,72.21
11/04/2018,73.26,10160,73.26,73.56,72.94
10/04/2018,72.345,13680,72.41,72.69,72.09
09/04/2018,71.9,16224,71.11,72.46,71.11
06/04/2018,70.95,11372,71.65,71.65,70.737
05/04/2018,72,13749,71.975,72.26,71.73
04/04/2018,70.78,25815,69.69,70.78,69.69
03/04/2018,72.4,13551,71.81,72.4,71.81
02/04/2018,71.52,16463,72.3,72.3,71.014
29/03/2018,73.09,11988,73.09,73.53,72.388
28/03/2018,73.54,18381,73.05,73.55,72.58
27/03/2018,72.95,10362,73.75,74,72.78
26/03/2018,72.19,14170,71.8,72.29,71.24
23/03/2018,71.76,13492,72.12,73.136,71.76
22/03/2018,73.09,23953,73.58,74.12,73.09
21/03/2018,73.81,14542,72.8,74.296,72.8
20/03/2018,73.91,11860,73.62,74.3,73.61
19/03/2018,73.235,16235,74,74,72.85
16/03/2018,74.13,148968,74.29,74.3625,74.13
15/03/2018,74.725,163992,76.45,76.45,74.38
14/03/2018,75.265,12074,76,76,75.01
13/03/2018,76.265,27466,78.15,78.15,76.02
12/03/2018,76.005,45568,76.21,76.21,75.56
09/03/2018,75.5,18927,74.855,75.5,74.855
08/03/2018,74.2,10969,74.218,74.28,73.79
07/03/2018,73.71,12471,73.9,73.9,73.18
06/03/2018,75,17287,75.136,75.34,74.81
05/03/2018,74.38,173446,73.649,74.6137,73.55
02/03/2018,75.74,21235,73.75,75.77,73.75
01/03/2018,74.78,14323,75.45,76.61,74.6
28/02/2018,77.26,32743,77.31,77.79,77.25
27/02/2018,78.38,12789,79.07,79.08,78.16
26/02/2018,78.335,12674,77.56,78.4,77.55
23/02/2018,78.535,13869,77.72,78.67,77.72
22/02/2018,77.28,9621,76.22,77.62,76.22
21/02/2018,76.18,14599,76.87,77.12,76.1
20/02/2018,77.17,76718,77.215,77.69,76.98
16/02/2018,77.72,24344,77.075,77.84,76.85
15/02/2018,76.03,21737,76.222,76.72,75.935
14/02/2018,76.19,21311,74.174,76.23,74.174
13/02/2018,74.81,15400,74.17,74.91,74.15
12/02/2018,75.3,14078,74,75.6,74
09/02/2018,73.17,32319,72.79,73.94,70.99
08/02/2018,73.26,22323,75.33,75.36,73.26
07/02/2018,75.46,48123,76.19,76.32,75.25
06/02/2018,77.405,25677,75.69,77.57,75.595
05/02/2018,75.41,22174,77,77.72,75.014
02/02/2018,79.095,18102,81,81,78.87
01/02/2018,81.495,16562,81.55,81.94,81.25
31/01/2018,82.21,44652,79.54,82.9,79.54
30/01/2018,80.13,111553,80.12,81.81,80.1
29/01/2018,82.86,23896,83.93,83.93,82.51
26/01/2018,85.332,17556,84.705,85.332,84.64
25/01/2018,84.22,17677,84.058,84.46,83.8
