Date,Open,High,Low,Close,Adj Close,Volume
2014-06-18,95.989998,96.320000,94.919998,95.739998,86.048012,1051600
2014-06-19,95.639999,96.250000,95.489998,95.849998,86.146866,1330500
2014-06-20,96.269997,97.230003,96.250000,96.769997,86.973740,1911100
2014-06-23,97.040001,97.040001,95.449997,95.830002,86.128899,889300
2014-06-24,95.529999,96.000000,94.190002,94.230003,84.690865,1129200
2014-06-25,94.209999,94.849998,93.529999,94.709999,85.122292,1585000
2014-06-26,94.559998,94.559998,93.639999,94.080002,84.556068,1161500
2014-06-27,94.120003,94.449997,93.750000,94.400002,84.843658,1895000
2014-06-30,93.820000,93.839996,92.099998,92.250000,83.446098,1625500
2014-07-01,91.669998,93.629997,90.370003,93.099998,84.215004,2129800
2014-07-02,93.099998,93.559998,92.220001,92.470001,83.645103,1136500
2014-07-03,93.389999,93.500000,92.480003,93.220001,84.323547,808800
2014-07-07,93.290001,93.389999,92.099998,92.290001,83.482292,1235900
2014-07-08,92.029999,92.220001,91.070000,91.199997,82.496300,1417300
2014-07-09,91.739998,91.870003,91.000000,91.860001,83.093338,1547700
2014-07-10,90.750000,92.680000,90.750000,92.099998,83.310432,1523400
2014-07-11,92.129997,93.300003,91.910004,92.959999,84.088333,1515500
2014-07-14,93.389999,94.129997,93.120003,93.959999,84.992912,1763400
2014-07-15,94.059998,95.260002,93.970001,94.559998,85.535645,1583200
2014-07-16,95.019997,95.120003,94.110001,94.629997,85.598969,1202700
2014-07-17,94.180000,95.139999,93.639999,94.150002,85.164795,1077100
2014-07-18,94.370003,94.959999,94.000000,94.849998,85.797974,1168700
2014-07-21,94.860001,95.980003,94.849998,95.820000,86.675400,1023300
2014-07-22,96.000000,97.010002,95.790001,96.860001,87.616173,2307800
2014-07-23,96.400002,96.540001,95.339996,95.370003,86.268341,1674700
2014-07-24,95.000000,95.389999,93.480003,93.550003,84.622047,2278100
2014-07-25,93.269997,93.540001,91.970001,92.070000,83.283295,1978600
2014-07-28,92.230003,93.529999,91.559998,93.279999,84.377808,1806800
2014-07-29,93.059998,93.389999,92.489998,92.489998,83.663208,1607300
2014-07-30,92.889999,93.419998,92.059998,92.620003,83.780792,1285600
2014-07-31,92.019997,92.150002,90.760002,90.769997,82.107338,1928000
2014-08-01,90.870003,92.239998,90.870003,91.790001,83.030014,1671600
2014-08-04,91.790001,92.000000,90.940002,91.550003,82.812927,1916800
2014-08-05,91.209999,92.790001,90.970001,91.570000,82.830994,1473900
2014-08-06,90.489998,90.910004,89.260002,89.519997,80.976646,2271900
2014-08-07,90.260002,90.400002,89.169998,89.430000,80.895241,1537700
2014-08-08,89.730003,91.660004,89.610001,91.610001,82.867210,1450100
2014-08-11,91.959999,92.160004,91.330002,91.410004,82.686279,1210900
2014-08-12,91.580002,92.250000,91.180000,91.379997,82.659119,1092800
2014-08-13,91.739998,93.790001,91.739998,93.639999,84.703453,1392300
2014-08-14,93.529999,93.879997,93.250000,93.410004,84.495407,1206700
2014-08-15,93.720001,93.980003,92.739998,93.449997,84.531593,1144000
2014-08-18,93.900002,94.980003,93.900002,94.800003,85.752754,1070200
2014-08-19,94.639999,95.220001,94.449997,95.059998,85.987930,1495900
2014-08-20,95.199997,96.849998,94.919998,96.660004,87.435257,1829600
2014-08-21,96.739998,97.000000,96.419998,96.580002,87.362877,975800
2014-08-22,96.430000,97.239998,96.349998,96.580002,87.362877,842400
2014-08-25,97.000000,97.209999,96.720001,97.070000,87.806114,624300
2014-08-26,97.129997,97.220001,96.580002,96.610001,87.390007,697100
2014-08-27,96.709999,97.000000,95.940002,96.160004,86.982956,1067700
2014-08-28,95.750000,96.190002,95.500000,96.040001,86.874420,1400600
2014-08-29,96.389999,96.830002,95.900002,96.339996,87.145782,1643500
2014-09-02,96.709999,96.760002,95.910004,96.480003,87.272408,2037700
2014-09-03,96.779999,96.949997,96.209999,96.639999,87.417122,2269800
2014-09-04,96.750000,97.480003,96.639999,97.110001,87.842285,2055400
2014-09-05,97.209999,97.900002,96.989998,97.760002,88.430267,2411300
2014-09-08,97.849998,98.709999,97.800003,98.500000,89.099632,1835100
2014-09-09,99.080002,99.889999,98.750000,99.339996,89.859459,1898400
2014-09-10,99.430000,101.309998,99.230003,100.900002,91.270607,3001400
2014-09-11,101.050003,101.199997,100.529999,100.930000,91.297745,2458900
2014-09-12,100.650002,101.370003,100.320000,100.769997,91.153000,1563200
2014-09-15,100.959999,101.680000,100.440002,101.510002,91.822380,1935800
2014-09-16,101.349998,102.180000,101.040001,101.709999,92.003281,1621200
2014-09-17,102.059998,102.919998,101.720001,102.279999,92.518883,1024300
2014-09-18,102.440002,102.540001,102.099998,102.480003,92.699806,1029200
2014-09-19,103.209999,103.510002,102.629997,103.349998,93.486763,2127300
2014-09-22,102.910004,103.459999,102.180000,102.389999,92.618401,1186700
2014-09-23,101.989998,102.180000,100.349998,100.580002,90.981133,1343200
2014-09-24,101.000000,101.099998,100.519997,101.050003,91.406281,2107600
2014-09-25,100.650002,101.050003,100.099998,100.190002,90.628357,1966600
2014-09-26,100.190002,101.790001,100.190002,101.519997,91.831413,1385700
2014-09-29,99.940002,101.610001,98.980003,100.889999,91.808685,1462700
2014-09-30,101.370003,102.360001,101.089996,101.620003,92.472969,1777300
2014-10-01,100.970001,100.970001,98.699997,99.190002,90.261711,2642500
2014-10-02,99.169998,99.400002,97.209999,97.680000,88.887604,1695600
2014-10-03,98.709999,99.870003,98.379997,99.180000,90.252579,2142200
2014-10-06,99.650002,100.220001,98.339996,98.400002,89.542801,1405700
2014-10-07,98.190002,98.199997,95.769997,95.769997,87.149529,2332100
2014-10-08,96.120003,97.029999,94.930000,96.949997,88.223335,1943300
2014-10-09,96.839996,96.959999,94.720001,94.970001,86.421547,1497100
2014-10-10,95.139999,96.400002,94.599998,95.470001,86.876534,2196200
2014-10-13,95.510002,96.160004,93.709999,93.849998,85.402374,2056300
2014-10-14,94.139999,97.489998,93.849998,96.559998,87.868431,2885600
