,Date,Ticker,Open,High,Low,Close,Adj Close,Volume,Prev Close,TR,ATR,RSI,Prediction_ATR,Prediction_RSI
0,2014-06-18,GS,167.889999,170.100006,167.28999299999998,169.860001,158.448853,2873200,169.860001,2.8100130000000263,2.8100130000000263,30.236183939102176,191.5769303955999,199.14898917803328
1,2014-06-19,GS,170.0,170.16000400000001,168.929993,169.729996,158.32756,2306900,169.860001,1.2300110000000188,1.9635833571428793,30.236183939102176,183.29542328563963,199.14898917803328
2,2014-06-20,GS,170.320007,171.080002,169.419998,169.83999599999999,158.430206,4688200,169.729996,1.660004000000015,1.8476150118845698,30.236183939102176,182.16078358594152,199.14898917803328
3,2014-06-23,GS,170.179993,170.619995,169.21000700000002,170.240005,158.803299,1738500,169.83999599999999,1.40998799999997,1.7137325639956535,30.236183939102176,180.85087147044857,199.14898917803328
4,2014-06-24,GS,169.550003,170.550003,167.949997,168.229996,156.928375,1608000,170.240005,2.6000060000000076,1.9449599473719523,30.236183939102176,183.11321097569615,199.14898917803328
5,2014-06-25,GS,167.820007,169.020004,167.399994,168.380005,157.068298,1601200,168.229996,1.6200100000000077,1.869772322890836,30.236183939102176,182.37757175042097,199.14898917803328
6,2014-06-26,GS,167.0,168.110001,166.369995,168.009995,156.723175,2131200,168.380005,2.0100100000000225,1.8993233748457068,30.236183939102176,182.66670062124476,199.14898917803328
7,2014-06-27,GS,167.25,167.649994,166.369995,166.779999,155.575821,3111200,168.009995,1.6400000000000148,1.848603541306045,30.236183939102176,182.17045540391416,199.14898917803328
8,2014-06-30,GS,166.869995,167.91000400000001,166.369995,167.440002,156.191406,1885200,166.779999,1.5400090000000262,1.7917841128680596,30.236183939102176,181.61453146556448,199.14898917803328
9,2014-07-01,GS,166.350006,168.270004,166.059998,166.809998,155.603775,2947800,167.440002,2.210005999999993,1.8650664790664895,30.236183939102176,182.33152955492537,199.14898917803328
10,2014-07-02,GS,167.0,167.809998,166.570007,166.889999,155.678375,1877600,166.809998,1.2399910000000034,1.7599421622426967,30.236183939102176,181.30298833528275,199.14898917803328
11,2014-07-03,GS,167.830002,169.899994,167.720001,169.46000700000002,158.075775,1801200,166.889999,3.0099950000000035,1.9630953672365026,30.236183939102176,183.2906487696319,199.14898917803328
12,2014-07-07,GS,168.970001,168.970001,166.899994,167.779999,156.508621,1774000,169.46000700000002,2.5600130000000263,2.0573531851603177,30.236183939102176,184.21287165713673,199.14898917803328
13,2014-07-08,GS,166.740005,166.779999,163.729996,164.91000400000001,153.83140600000002,2422200,167.779999,4.050003000000004,2.3644607554120034,30.236183939102176,187.2176264504317,199.14898917803328
14,2014-07-09,GS,165.240005,165.330002,163.630005,164.669998,153.607544,1943800,164.91000400000001,1.6999969999999962,2.2641388515963006,30.236183939102176,186.23607226368318,199.14898917803328
15,2014-07-10,GS,162.220001,163.779999,161.529999,163.419998,152.441483,2204100,164.669998,3.139998999999989,2.394084419634583,27.85974625506789,187.50746576306997,198.68943494171197
16,2014-07-11,GS,163.020004,165.139999,162.380005,164.800003,153.728806,2293300,163.419998,2.7599939999999776,2.4475681375538376,33.762975060088465,188.0307529541002,199.8309981409269
17,2014-07-14,GS,167.179993,167.720001,166.46000700000002,167.0,155.78100600000002,3007700,164.800003,2.9199979999999925,2.515746606134777,40.64666437760492,188.69781427108498,201.16216226470655
18,2014-07-15,GS,169.699997,170.149994,167.149994,169.169998,157.805237,4802300,167.0,3.1499939999999924,2.6062834886275854,52.68878675334837,189.5836313527587,203.49086138829472
19,2014-07-16,GS,169.199997,170.990005,169.0,170.470001,159.017929,3295100,169.169998,1.9900049999999965,2.519132023283131,55.60921144856736,188.7309373503874,204.05561153914525
20,2014-07-17,GS,170.21000700000002,171.600006,168.919998,170.139999,158.710068,3815500,170.470001,2.680008000000015,2.5417000119607582,55.72888924415701,188.95174360436073,204.0787547666434
21,2014-07-18,GS,170.41000400000001,171.78999299999998,169.649994,171.470001,159.95071399999998,2558600,170.139999,2.139998999999989,2.4857374879520195,62.54680034790734,188.40420365891967,205.39719873495804
22,2014-07-21,GS,170.169998,172.100006,170.050003,171.720001,160.183929,2227400,171.470001,2.050003000000004,2.4253945121675824,61.70676206257658,187.8138051689659,205.23475258486985
23,2014-07-22,GS,172.380005,175.380005,172.380005,175.020004,163.262222,3849500,171.720001,3.660004000000015,2.5954938090130106,69.59426020814857,189.47806462409275,206.76003271787155
24,2014-07-23,GS,175.21000700000002,177.220001,174.630005,176.820007,164.941315,3436100,175.020004,2.589995999999985,2.5947396941581573,71.90117966319406,189.47068632917492,207.20614355660328
25,2014-07-24,GS,176.800003,177.320007,175.610001,176.259995,164.4189,2012800,176.820007,1.7100059999999928,2.4738473212423475,66.45686546304805,188.2878697131798,206.1533250159151
26,2014-07-25,GS,175.91000400000001,176.46000700000002,174.720001,175.399994,163.616669,2114900,176.259995,1.7400060000000224,2.373904030673895,69.20359029753328,187.3100198961039,206.68448518147594
27,2014-07-28,GS,175.0,176.46000700000002,174.669998,175.949997,164.129761,2303400,175.399994,1.7900090000000262,2.2946088953443553,81.50676639629984,186.5341925930806,209.06366673308176
28,2014-07-29,GS,176.169998,177.110001,175.449997,175.53999299999998,163.747269,3055600,175.949997,1.660004000000015,2.208639550366904,80.72350119414688,185.69306451152363,208.91219933116722
29,2014-07-30,GS,175.96000700000002,177.479996,175.360001,175.759995,163.952484,2345600,175.53999299999998,2.1199949999999887,2.1966565469014725,87.03472711792008,185.57582224663474,210.1326607929326
30,2014-07-31,GS,174.440002,175.270004,172.78999299999998,172.869995,161.25663799999998,3797600,175.759995,2.9700020000000222,2.3010049387123392,72.20687582794291,186.59677177975556,207.2652589158998
31,2014-08-01,GS,172.380005,172.759995,169.399994,170.25,158.812668,3140000,172.869995,3.4700009999999963,2.4584872942988043,58.741245575315936,188.1375864930497,204.66128260761894
32,2014-08-04,GS,170.570007,171.889999,170.050003,171.690002,160.15593,2103900,170.25,1.839995999999985,2.375281720612856,57.05486977850877,187.32349927873318,204.33517216649145
33,2014-08-05,GS,171.300003,171.770004,168.889999,169.419998,158.038422,2746200,171.690002,2.8800050000000113,2.443100943904641,47.21189283098973,187.9870457230508,202.43174259851457
34,2014-08-06,GS,168.149994,170.850006,168.020004,169.740005,158.336945,1711700,169.419998,2.8300020000000075,2.4950347063040907,48.93731883006827,188.49516807697293,202.76540454667446
35,2014-08-07,GS,170.300003,171.070007,168.740005,169.100006,157.73992900000002,1920900,169.740005,2.3300020000000075,2.472902199193569,43.46389844255683,188.2786225949665,201.70695746718775
36,2014-08-08,GS,169.350006,172.490005,168.679993,172.259995,160.687607,2250900,169.100006,3.8100120000000004,2.652082626714226,51.28325423963396,190.03173225623635,203.21906026962694
37,2014-08-11,GS,172.75,173.41000400000001,171.619995,172.46000700000002,160.874207,2098000,172.259995,1.7900090000000262,2.53663741667059,42.86512739413586,188.90221093588178,201.59116744511516
38,2014-08-12,GS,171.779999,173.110001,171.380005,172.330002,160.75293,1362900,172.46000700000002,1.7299959999999999,2.4286783248114987,36.20161235055739,187.84593414505724,200.30258050355954
39,2014-08-13,GS,172.399994,172.889999,171.270004,172.369995,160.790222,1708200,172.330002,1.6199949999999887,2.3205005178281994,37.65080619600639,186.7875174352548,200.5828248269858
40,2014-08-14,GS,172.800003,173.100006,171.690002,172.729996,161.126053,1431400,172.369995,1.410004000000015,2.1987563275259894,41.24591738133264,185.59636659821558,201.27804548703614
41,2014-08-15,GS,172.83999599999999,174.600006,171.440002,171.899994,160.35183700000002,2446000,172.729996,3.160004000000015,2.3272379147760613,36.960724120356645,186.85343644127875,200.44937712776573
42,2014-08-18,GS,173.25,174.630005,172.699997,174.550003,162.823792,1877700,171.899994,2.730011000000019,2.3810554290629726,47.21443757519695,187.37998951154105,202.43223469977548
43,2014-08-19,GS,174.91000400000001,175.100006,173.630005,173.96000700000002,162.273422,1916100,174.550003,1.4700009999999963,2.2593572325737528,45.03862565927461,186.18928868011363,202.01147736617563
44,2014-08-20,GS,173.270004,174.179993,172.600006,174.029999,162.33871499999998,1755100,173.96000700000002,1.5799869999999885,2.1686296298101566,53.78591235538686,185.30160558241383,203.70302294488872
45,2014-08-21,GS,174.240005,175.919998,173.440002,175.149994,163.383484,2075200,174.029999,2.479996,2.210202690928077,67.72790113115724,185.70835835169152,206.39911720719337
46,2014-08-22,GS,175.350006,176.979996,174.830002,175.470001,163.682007,2682000,175.149994,2.1499939999999924,2.2021652234602587,64.88187293696048,185.62971939505465,205.84875381154453
47,2014-08-25,GS,176.71000700000002,179.860001,176.46000700000002,177.869995,165.920746,3063500,175.470001,4.390000000000015,2.494180129606257,82.93061707477656,188.48680685869704,209.33901020856146
48,2014-08-26,GS,178.470001,179.149994,177.809998,177.899994,165.948746,3110600,177.869995,1.339995999999985,2.340150122411947,82.53585946977805,186.97977008311688,209.2626721960329
49,2014-08-27,GS,178.360001,178.360001,177.009995,177.809998,166.379166,2073700,177.899994,1.3500060000000076,2.2080277295186597,86.3219318781751,185.68707842780418,209.99482083430243
50,2014-08-28,GS,177.050003,177.75,175.889999,177.649994,166.229446,1961800,177.809998,1.9199990000000184,2.1695978898159156,79.97773082439883,185.31107908347755,208.76798265970004
51,2014-08-29,GS,178.320007,179.5,177.850006,179.110001,167.59561200000002,2560600,177.649994,1.8500060000000076,2.1269606287355782,82.43899512195118,184.8939141321248,209.24394062074634
52,2014-09-02,GS,179.259995,180.220001,178.380005,179.770004,168.213165,1986300,179.110001,1.839995999999985,2.088679217966826,84.50836447279494,184.51936702341226,209.64411414857867
53,2014-09-03,GS,180.479996,182.070007,179.429993,179.600006,168.054092,2397700,179.770004,2.640014000000008,2.1622229232474757,83.13478007292952,185.23892206654455,209.37849113891852
54,2014-09-04,GS,179.929993,181.600006,179.550003,180.080002,168.503204,1678500,179.600006,2.050003000000004,2.1472545515058274,83.31825626804294,185.0924708191797,209.4139716664724
55,2014-09-05,GS,179.580002,179.91000400000001,177.880005,179.75,168.194458,2562800,180.080002,2.199996999999996,2.154289205848477,87.27448951082434,185.16129820542074,210.17902591502687
56,2014-09-08,GS,179.580002,180.919998,179.220001,180.110001,168.531296,1746400,179.75,1.6999969999999962,2.0936995350111336,83.73789288579248,184.5684860395615,209.49512076905478
57,2014-09-09,GS,177.929993,178.639999,176.619995,177.399994,165.995514,2598500,180.110001,3.4900060000000224,2.279920016257959,66.60225225846972,186.39047591489253,206.1814398359207
58,2014-09-10,GS,178.330002,180.179993,178.119995,179.869995,168.306747,2457800,177.399994,2.7799990000000037,2.3466115803728194,72.8839789310509,187.0429892892201,207.39619674841697
59,2014-09-11,GS,178.770004,181.440002,178.5,181.0,169.364105,1905300,179.869995,2.9400019999999927,2.4257450765765984,72.90523429094077,187.81723510749683,207.4003070984369
60,2014-09-12,GS,180.630005,183.470001,180.630005,183.169998,171.394623,3358600,181.0,2.839995999999985,2.4809874712354447,76.33375925640541,188.35772927378594,208.0633134052288
61,2014-09-15,GS,182.91000400000001,184.399994,182.509995,183.979996,172.152512,2308000,183.169998,1.8899989999999889,2.4021779572296937,73.44587093721684,187.58665331244785,207.50485512120892
62,2014-09-16,GS,183.899994,184.559998,182.800003,184.03999299999998,172.20867900000002,2137600,183.979996,1.7599950000000035,2.3165431557738754,73.50686404370339,186.7487984203123,207.51664993521166
63,2014-09-17,GS,183.820007,185.770004,183.46000700000002,184.820007,172.938538,2820300,184.03999299999998,2.3099969999999814,2.3156702430639626,75.49088434782425,186.7402578016389,207.90031871046793
64,2014-09-18,GS,185.830002,188.429993,185.5,187.889999,175.811157,3566600,184.820007,3.609985999999992,2.4882614318241623,80.73227287435859,188.42889804350165,208.9138955939508
65,2014-09-19,GS,188.259995,188.580002,185.880005,186.199997,174.229858,5442900,187.889999,2.699996999999996,2.516495074512565,70.98872150135571,188.7051373206078,207.0296928898949
66,2014-09-22,GS,186.0,186.949997,185.100006,185.28999299999998,173.37828100000002,1826100,186.199997,1.8499909999999886,2.4276217711511423,66.10263759979198,187.83559677475822,206.08482462296305
67,2014-09-23,GS,184.570007,186.860001,184.570007,185.08999599999999,173.191177,1977600,185.28999299999998,2.289994000000007,2.4092703111962344,65.98714479790164,187.65604523450057,206.06249068728704
68,2014-09-24,GS,185.259995,188.119995,184.470001,187.809998,175.736313,2834200,185.08999599999999,3.6499939999999924,2.5747086561938306,69.9123854586445,189.27470171932418,206.82155160705952
69,2014-09-25,GS,187.46000700000002,187.800003,183.46000700000002,184.08999599999999,172.255447,3074600,187.809998,4.349990999999989,2.811423533764093,59.51752673901157,191.5907311237461,204.81139943994722
70,2014-09-26,GS,184.75,185.600006,183.220001,185.119995,173.219223,1932500,184.08999599999999,2.3800050000000113,2.753898837478019,60.67317886164374,191.0279068118714,205.0348788234957
71,2014-09-29,GS,183.110001,184.559998,182.199997,183.830002,172.01220700000002,1745400,185.119995,2.9199979999999925,2.7760461349381993,64.58051436181147,191.24459700334884,205.79047725298298
72,2014-09-30,GS,184.41000400000001,184.990005,182.679993,183.570007,171.76890600000002,2037700,183.830002,2.3100120000000004,2.7139064448862085,59.324627956111705,190.6366193771882,204.77409677745436
73,2014-10-01,GS,183.190002,183.850006,180.330002,180.699997,169.08338899999998,4196300,183.570007,3.520004,2.821388825302577,49.304905101264346,191.68823200101951,202.83648818134185
74,2014-10-02,GS,180.600006,183.429993,180.58999599999999,182.880005,171.123245,2782600,180.699997,2.839997000000011,2.823869969407313,49.32840939002681,191.71250763068065,202.841033428013
75,2014-10-03,GS,184.610001,188.53999299999998,184.570007,188.070007,175.97963000000001,3271400,182.880005,5.65998799999997,3.202026192199649,57.874486566566354,195.41240575471053,204.49366921846232
76,2014-10-06,GS,189.070007,189.5,187.149994,187.479996,175.427536,1934800,188.070007,2.3500060000000076,3.0884216377895437,56.49056410537786,194.30089349493736,204.22604704008492
77,2014-10-07,GS,186.559998,186.559998,183.619995,183.800003,171.98408500000002,2927100,187.479996,3.860001000000011,3.191300347550496,48.265299909761936,195.3074635903241,202.63544989068257
78,2014-10-08,GS,184.029999,187.0,182.149994,186.639999,174.641556,3154500,183.800003,4.850006000000008,3.4124638240921423,47.85738875545278,197.47133736164034,202.55656825188981
79,2014-10-09,GS,185.820007,186.169998,180.75,181.270004,169.61676,4892900,186.639999,5.889998999999989,3.7428053723155195,42.49620707843383,200.70341447922885,201.51982583364145
80,2014-10-10,GS,181.570007,182.949997,180.059998,180.380005,168.783936,4405600,181.270004,2.889998999999989,3.6290968044983907,42.52210219176964,199.5908845474293,201.5248334166778
81,2014-10-13,GS,181.0,183.190002,178.5,178.770004,167.27749599999999,3436500,180.380005,4.690001999999993,3.7705519642451537,40.77104133685026,200.97488842899128,201.18621421393541
82,2014-10-14,GS,179.479996,181.78999299999998,177.770004,178.699997,167.21196,3557200,178.770004,4.019988999999981,3.8038104666868167,35.580883463446696,201.30029116832296,200.182544286496
83,2014-10-15,GS,176.490005,177.949997,171.520004,177.240005,165.845856,6330500,178.699997,7.179992999999996,4.253970847631831,38.3225523926849,205.7046813345683,200.7127267438298
